LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,PS,TS,KT,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN
28.25,77.25,1986,1,1,0,0.003886,99.11,11.85,0.68,3.97,6.5
28.75,77.25,1986,1,1,0,0.003804,99.05,11.48,0.68,3.97,6.5
28.25,77.25,1986,1,2,0,0.003462,99.13,11.86,0.76,4.42,6.36
28.75,77.25,1986,1,2,0,0.003457,99.06,12.04,0.76,4.42,6.36
28.25,77.25,1986,1,3,0,0.002913,99.31,10.09,0.73,4.29,6.5
28.75,77.25,1986,1,3,0,0.002902,99.23,9.92,0.73,4.29,6.5
28.25,77.25,1986,1,4,0,0.002383,99.24,9.66,0.72,4.19,6.18
28.75,77.25,1986,1,4,0,0.002433,99.17,9.33,0.72,4.19,6.18
28.25,77.25,1986,1,5,0,0.002493,99.07,9.6,0.75,4.39,6.57
28.75,77.25,1986,1,5,0,0.0026,99,9.36,0.75,4.39,6.57
28.25,77.25,1986,1,6,0,0.00269,99.1,10.73,0.67,3.92,6.31
28.75,77.25,1986,1,6,0,0.002723,99.05,10.3,0.67,3.92,6.31
28.25,77.25,1986,1,7,0,0.002805,99.24,10.81,0.73,4.32,6.55
28.75,77.25,1986,1,7,0,0.002819,99.2,10.75,0.73,4.32,6.55
28.25,77.25,1986,1,8,0,0.003124,99.17,10.97,0.68,4.03,6.59
28.75,77.25,1986,1,8,0,0.003118,99.12,10.92,0.68,4.03,6.59
28.25,77.25,1986,1,9,0,0.004148,99.24,11.76,0.68,4.08,6.66
28.75,77.25,1986,1,9,0,0.00399,99.2,11.65,0.68,4.08,6.66
28.25,77.25,1986,1,10,0,0.004491,99.26,12.45,0.68,4.06,6.6
28.75,77.25,1986,1,10,0,0.004452,99.21,12.43,0.68,4.06,6.6
28.25,77.25,1986,1,11,0,0.004462,99.05,13.14,0.66,3.97,7.07
28.75,77.25,1986,1,11,0,0.0044,99.01,12.96,0.66,3.97,7.07
28.25,77.25,1986,1,12,0.14,0.005254,99.19,13.25,0.67,4.02,6.86
28.75,77.25,1986,1,12,0.34,0.005179,99.16,13.3,0.67,4.02,6.86
28.25,77.25,1986,1,13,0.07,0.004514,99.41,13.5,0.75,4.53,6.66
28.75,77.25,1986,1,13,0.05,0.004482,99.35,13.69,0.75,4.53,6.66
28.25,77.25,1986,1,14,0.25,0.003921,99.31,12.19,0.74,4.51,6.6
28.75,77.25,1986,1,14,0.58,0.003899,99.26,11.97,0.74,4.51,6.6
28.25,77.25,1986,1,15,0,0.003296,99.19,12.13,0.72,4.41,6.69
28.75,77.25,1986,1,15,0,0.003294,99.14,11.69,0.72,4.41,6.69
28.25,77.25,1986,1,16,0,0.003111,99.11,11.41,0.75,4.65,6.38
28.75,77.25,1986,1,16,0,0.003146,99.06,11.08,0.75,4.65,6.38
28.25,77.25,1986,1,17,0,0.003236,99.01,11.74,0.74,4.61,6.5
28.75,77.25,1986,1,17,0,0.003311,98.96,11.34,0.74,4.61,6.5
28.25,77.25,1986,1,18,0,0.003408,99.17,12.35,0.76,4.74,6.38
28.75,77.25,1986,1,18,0,0.00339,99.11,11.97,0.76,4.74,6.38
28.25,77.25,1986,1,19,0,0.003523,99.17,12.56,0.58,3.65,7.71
28.75,77.25,1986,1,19,0,0.003546,99.12,12.21,0.58,3.65,7.71
28.25,77.25,1986,1,20,0.1,0.0045,99.26,13.44,0.53,3.31,8.12
